frame,time_s,side,shoulder_elev,elbow_flex
0,0.0,right,-64.56,123.18
1,0.0333,right,-62.4,119.56
2,0.0667,right,-61.42,118.19
3,0.1,right,-60.48,115.72
4,0.1333,right,-56.51,107.09
5,0.1667,right,-53.56,109.13
6,0.2,right,-49.0,109.85
7,0.2333,right,-48.86,106.68
8,0.2667,right,-47.14,107.88
9,0.3,right,-37.75,111.19
10,0.3333,right,-31.22,118.26
11,0.3667,right,-20.95,128.7
12,0.4,right,-15.75,132.92
13,0.4333,right,-11.29,138.47
14,0.4667,right,-7.09,141.18
15,0.5,right,-5.25,144.46
16,0.5333,right,-2.74,146.53
17,0.5667,right,-3.47,143.93
18,0.6,right,-4.77,146.18
19,0.6333,right,-4.84,140.69
20,0.6667,right,-6.1,137.24
21,0.7,right,-7.81,135.5
22,0.7333,right,-8.29,135.1
23,0.7667,right,-8.4,134.23
24,0.8,right,-9.81,134.02
25,0.8333,right,-10.25,134.1
26,0.8667,right,-8.96,135.23
27,0.9,right,-8.98,133.65
28,0.9333,right,-10.12,133.29
29,0.9667,right,-10.54,133.03
30,1.0,right,-8.63,133.99
31,1.0333,right,-9.32,133.13
32,1.0667,right,-9.76,134.09
33,1.1,right,-9.58,132.95
34,1.1333,right,-9.42,133.26
35,1.1667,right,-8.42,133.82
36,1.2,right,-6.91,137.39
37,1.2333,right,-6.99,139.14
38,1.2667,right,-5.63,138.48
39,1.3,right,-5.75,136.58
40,1.3333,right,-5.76,132.73
41,1.3667,right,-6.73,128.9
42,1.4,right,-6.69,122.3
43,1.4333,right,-7.18,113.32
44,1.4667,right,-13.75,111.65
45,1.5,right,-15.78,113.0
46,1.5333,right,-19.58,107.95
47,1.5667,right,-19.39,106.6
48,1.6,right,-18.14,101.95
49,1.6333,right,-18.42,102.07
50,1.6667,right,-20.93,97.54
51,1.7,right,-24.32,96.7
52,1.7333,right,-30.35,96.92
53,1.7667,right,-35.12,96.83
54,1.8,right,-31.24,97.45
55,1.8333,right,-31.09,97.09
56,1.8667,right,-28.84,98.7
57,1.9,right,-27.18,103.27
