id,full_name,exercise_kombi,target_muscle,exercise_name,muscle_id,is_superdefault,created_at
0ab1ff19-3648-4781-b072-c5ed5222a030,Bench + Freeweight > back > kelso shrugg,Bench + Freeweight,back,kelso shrugg,38beb3e5-86ed-4583-8aac-b8c4f4929953,false,2026-04-03 19:05:59.251008+00
12f945f8-18b2-441c-ae46-1c5bc14a4a87,free + freeweight > legs > squat,free + freeweight,legs,squat,396b32dd-a4a5-411d-aa20-02ded2065b38,true,2026-04-03 19:05:59.251008+00
1315e5cf-a85e-459e-b451-906e5bf659b7,lat row > shoulder > rear pull,lat row,shoulder,rear pull,112af07d-ffb9-400c-b9fe-4ec1c718a868,false,2026-04-03 19:05:59.251008+00
13519442-949c-497a-a1ba-0699a26b9d9e,cable + bench > chest > fly,cable + bench,chest,fly,0e10c3cd-b89d-4b74-b52b-10fec101513c,true,2026-04-03 19:05:59.251008+00
15c91401-dc97-4802-b497-54d24d79925d,Lat pull > abs > crunch,Lat pull,abs,crunch,d0211c99-b213-4e1f-a387-c6052f79d833,false,2026-04-03 19:05:59.251008+00
1871db61-13bd-4a34-bace-e2259d4cc954,Free + Cable > shoulder > front row,Free + Cable,shoulder,front row,112af07d-ffb9-400c-b9fe-4ec1c718a868,false,2026-04-03 19:05:59.251008+00
1ab32b74-f022-4812-a310-157bb50c158d,Bench + Freeweight > triceps > overhead extension,Bench + Freeweight,triceps,overhead extension,7924cdc2-796f-496b-8a75-c3e0a9593184,false,2026-04-03 19:05:59.251008+00
1c4ef493-244a-4da4-8ecc-d959f9be8f3b,Free + Cable > triceps > pushdown,Free + Cable,triceps,pushdown,7924cdc2-796f-496b-8a75-c3e0a9593184,true,2026-04-03 19:05:59.251008+00
1daeea47-278b-4942-ac2f-1ebeab1c713e,lat row 2 > back > row,lat row 2,back,row,38beb3e5-86ed-4583-8aac-b8c4f4929953,true,2026-04-03 19:05:59.251008+00
20f6c002-84d1-41d3-8d24-d11630b75f28,Bench + Freeweight > shoulder > rear raise,Bench + Freeweight,shoulder,rear raise,112af07d-ffb9-400c-b9fe-4ec1c718a868,false,2026-04-03 19:05:59.251008+00
21d92669-91ed-4cc5-893c-bd002f6b6a21,cable + bench > shoulder > rev fly,cable + bench,shoulder,rev fly,112af07d-ffb9-400c-b9fe-4ec1c718a868,true,2026-04-03 19:05:59.251008+00
2524daf2-3d30-434c-bb66-d376cf3aae3e,lat row 2 > biceps > curl,lat row 2,biceps,curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,false,2026-04-03 19:05:59.251008+00
275410a5-51d4-49d3-9d2b-7df4f96dd2a1,lat row 2 > shoulder > rear pull,lat row 2,shoulder,rear pull,112af07d-ffb9-400c-b9fe-4ec1c718a868,false,2026-04-03 19:05:59.251008+00
2763d7a3-edd9-4109-b4c9-b614066e72e3,cable + bench > biceps > curl,cable + bench,biceps,curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,true,2026-04-03 19:05:59.251008+00
27d4fbaf-d9b3-46c0-ba2e-07719c54cf43,cable + bench > triceps > overhead extension,cable + bench,triceps,overhead extension,7924cdc2-796f-496b-8a75-c3e0a9593184,false,2026-04-03 19:05:59.251008+00
2eb87d57-7544-4338-8d12-d58a184a7615,Free + Cable > chest > fly,Free + Cable,chest,fly,0e10c3cd-b89d-4b74-b52b-10fec101513c,true,2026-04-03 19:05:59.251008+00
2ff05c39-55fd-4817-befb-c91070dbcf75,Lat pull > lat > pull,Lat pull,lat,pull,38beb3e5-86ed-4583-8aac-b8c4f4929953,true,2026-04-03 19:05:59.251008+00
307f2e6f-4403-4ed6-8805-25099c660dce,Free + Cable > triceps > overhead extension,Free + Cable,triceps,overhead extension,7924cdc2-796f-496b-8a75-c3e0a9593184,true,2026-04-03 19:05:59.251008+00
30cac850-ea3a-4735-9621-d0936c589d46,Lat pull > triceps > extension,Lat pull,triceps,extension,7924cdc2-796f-496b-8a75-c3e0a9593184,true,2026-04-03 19:05:59.251008+00
32d4527b-53d8-4ce4-818b-69aeea48113f,free + freeweight > core > core,free + freeweight,core,core,d0211c99-b213-4e1f-a387-c6052f79d833,false,2026-04-03 19:05:59.251008+00
332a451d-2048-4500-99eb-8c13b3f37579,Free + Cable > biceps > curl,Free + Cable,biceps,curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,true,2026-04-03 19:05:59.251008+00
3c7c07db-7fe2-4e93-be69-9019f4fa31a2,Lat pull > biceps > curl,Lat pull,biceps,curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,true,2026-04-03 19:05:59.251008+00
3d4519b0-2dcd-4445-a060-877feb2ceeca,Bench + Freeweight > triceps > skull crusher,Bench + Freeweight,triceps,skull crusher,7924cdc2-796f-496b-8a75-c3e0a9593184,false,2026-04-03 19:05:59.251008+00
426ef352-f76d-4c56-a7af-833b0b507235,lat row > back > face pull,lat row,back,face pull,38beb3e5-86ed-4583-8aac-b8c4f4929953,true,2026-04-03 19:05:59.251008+00
479156de-9f7e-4f6b-8e10-0dc332a580c5,Bench + Freeweight > biceps > spider curl,Bench + Freeweight,biceps,spider curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,true,2026-04-03 19:05:59.251008+00
48124066-0481-4f55-af43-354353ee7298,cable + bench > lat > pull,cable + bench,lat,pull,38beb3e5-86ed-4583-8aac-b8c4f4929953,true,2026-04-03 19:05:59.251008+00
49e6b7f1-77d1-4633-9e41-5a282cf69d47,cable + bench > triceps > extension,cable + bench,triceps,extension,7924cdc2-796f-496b-8a75-c3e0a9593184,true,2026-04-03 19:05:59.251008+00
4aeba724-0516-44fb-bcc9-d185ae1e68c7,free + freeweight > shoulder > front raise,free + freeweight,shoulder,front raise,112af07d-ffb9-400c-b9fe-4ec1c718a868,true,2026-04-03 19:05:59.251008+00
4aeced89-4339-4bf4-9a25-5df484b35b18,Free + Cable > triceps > extension,Free + Cable,triceps,extension,7924cdc2-796f-496b-8a75-c3e0a9593184,false,2026-04-03 19:05:59.251008+00
4c3f10d1-dd93-491c-ba7f-10fdfe971628,cable + bench > biceps > curl,cable + bench,biceps,curl,828b537f-a9f0-45fb-9ba5-71626b9937ed,false,2026-04-03 19:05:59.251008+00
4db67245-b612-4968-a378-f90f3f87a6a2,Bench + Freeweight > chest > press,Bench + Freeweight,chest,press,0e10c3cd-b89d-4b74-b52b-10fec101513c,true,2026-04-03 19:05:59.251008+00
